date,New York,San Francisco,Austin
20111001,69.30,53.20,67.30
20111001,59.00,53.00,65.10
20111001,54.10,55.10,67.90
20111001,56.50,55.80,68.90
20111001,58.20,58.00,65.10
20111001,52.40,52.80,65.40
20111001,51.60,55.10,70.10
20111001,49.30,57.90,67.00
20111001,52.50,57.50,75.40
20111001,50.50,55.30,77.50
20111001,51.90,53.50,77.00
20111001,47.40,54.70,77.70
20111001,54.10,54.00,77.70
20111001,51.90,53.40,77.70
20111001,57.40,52.70,77.00
20111001,53.70,50.70,77.90
20111001,53.10,52.60,79.10
20111001,57.20,53.40,80.10
20111001,57.00,53.10,82.10
20111001,56.60,56.50,79.00
20111001,54.60,55.30,79.80
20111001,57.90,52.00,70.00
20111001,59.20,52.40,69.80
20111001,61.10,53.40,71.30
20111001,59.70,53.10,69.40
20111001,64.10,49.90,72.00
20111001,65.30,52.00,72.40
20111001,64.20,56.00,72.50
20111001,62.00,53.00,67.60
20111001,63.80,51.00,69.00
20111001,64.50,51.40,72.70
20111001,61.00,52.20,73.70
20111001,62.60,52.40,77.50
20111001,66.20,54.50,75.80
20111001,62.70,52.80,76.90
20111001,63.70,53.90,78.80
20111001,66.40,56.50,77.70
20111001,64.50,54.70,80.60
20111001,65.40,52.50,81.40
20111001,69.40,52.10,82.30
20111001,71.90,52.20,80.30
20111001,74.40,52.90,80.30
20111001,75.90,52.10,82.20
20111001,72.90,52.10,81.90
20111001,72.50,53.30,82.40
20111001,67.20,54.80,77.90
20111001,68.30,54.00,81.10
20111001,67.70,52.30,82.20
20111001,61.90,55.30,81.20
20111001,58.30,53.50,83.00
20111001,61.70,54.10,83.20
20111001,66.70,53.90,82.10
20111001,68.70,54.40,77.50
20111001,72.20,55.00,77.90
20111001,72.60,60.00,82.90
20111001,69.20,57.20,86.80
20111001,66.90,55.10,85.30
20111001,66.70,53.30,76.90
20111001,67.70,53.40,84.50
20111001,68.50,54.60,84.40
20111001,67.50,57.00,83.80
20111001,64.20,55.60,82.50
20111001,61.70,52.50,82.90
20111001,66.40,53.90,82.50
20111001,77.90,55.30,81.30
20111001,88.30,53.30,80.80
20111001,82.20,54.10,81.70
20111001,77.00,55.20,83.90
20111001,75.40,55.80,85.50
20111001,70.90,56.80,87.20
20111001,65.90,57.50,88.00
20111001,73.50,57.70,89.60
20111001,77.40,56.60,86.70
20111001,79.60,56.40,85.30
20111001,84.20,58.40,81.70
20111001,81.80,58.80,78.50
20111001,82.50,56.40,83.10
20111001,80.20,56.50,83.10
20111001,77.80,55.80,84.50
20111001,86.10,54.80,84.60
20111001,79.90,54.90,84.20
20111001,83.50,54.70,86.70
20111001,81.50,52.80,84.30
20111001,77.80,53.70,83.70
20111001,76.10,53.10,77.10
20111001,76.30,52.70,77.40
20111001,75.80,52.00,80.60
20111001,77.20,53.40,81.40
20111001,79.30,54.00,80.20
20111001,78.90,54.00,81.80
20111001,79.60,54.50,77.30
20111001,83.30,56.70,80.80
20111001,84.30,57.50,81.60
20111001,75.10,57.10,80.90
20111001,68.40,58.10,83.90
20111001,68.40,57.60,85.60
20111001,72.20,56.00,83.60
20111001,75.60,56.60,84.00
20111001,82.60,57.80,83.00
20111001,78.40,57.50,84.80
20111001,77.00,56.40,84.40
20111001,79.40,55.30,84.30
20111001,77.40,55.00,83.90
20111001,72.50,55.60,85.00
20111001,72.90,55.60,84.90
20111001,73.60,55.90,86.30
20111001,75.00,55.40,86.50
20111001,77.70,54.40,85.80
20111001,79.70,53.70,85.30
20111001,79.60,54.10,86.00
20111001,81.50,57.80,84.20
20111001,80.00,58.20,81.90
20111001,75.70,58.00,86.50
20111001,77.80,57.00,86.10
20111001,78.60,55.00,86.80
20111001,77.80,54.80,88.00
20111001,78.50,53.00,85.10
20111001,78.80,52.50,87.40
20111001,78.60,53.30,88.00
20111001,76.80,53.90,88.00
20111001,76.70,56.20,87.20
20111001,75.90,57.10,86.10
20111001,77.60,55.30,86.80
20111001,72.60,56.20,84.90
20111001,70.40,54.30,76.80
20111001,71.80,53.10,80.60
20111001,73.60,53.40,80.00
20111001,74.70,54.50,78.20
20111001,74.60,55.70,79.10
20111001,76.00,54.80,81.90
20111001,76.20,53.80,84.70
20111001,73.40,56.50,83.50
20111001,74.60,58.30,82.10
20111001,79.40,58.70,84.00
20111001,74.70,57.50,85.70
20111001,73.50,55.90,87.20
20111001,77.90,55.40,82.90
20111001,80.70,55.70,84.80
20111001,75.10,53.10,83.90
20111001,73.50,53.50,85.50
20111001,73.50,52.50,86.40
20111001,77.70,54.50,85.80
20111001,74.20,56.30,85.40
20111001,76.00,56.40,85.30
20111001,77.10,56.50,81.90
20111001,69.70,56.40,74.80
20111001,67.80,55.40,71.60
