id,PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
79500US4200100,100,1429,769,577,53.81385584,40.37788663
79500US4200200,200,1682,1522,1228,90.48751486,73.00832342
79500US4200300,300,3009,2622,2204,87.13858425,73.24692589
79500US4200400,400,1012,934,570,92.29249012,56.32411067
79500US4200500,500,1830,1531,1144,83.66120219,62.5136612
79500US4200600,600,2163,1887,1621,87.23994452,74.94220989
79500US4200700,700,2622,2061,2061,78.60411899,78.60411899
79500US4200801,801,1953,1953,1750,100,89.60573477
79500US4200802,802,1845,1798,1442,97.45257453,78.15718157
79500US4200901,901,1518,1518,1120,100,73.78129117
79500US4200902,902,2379,2135,1655,89.74358974,69.56704498
79500US4200903,903,2799,2441,1925,87.20971776,68.77456234
79500US4201000,1000,2474,2213,2003,89.45028294,80.96200485
79500US4201100,1100,2417,2315,1426,95.77989243,58.99875879
79500US4201200,1200,3316,3045,2259,91.82750302,68.12424608
79500US4201300,1300,1414,848,634,59.97171146,44.83734088
79500US4201400,1400,2943,2093,1625,71.1179069,55.21576622
79500US4201500,1500,2052,1850,1455,90.15594542,70.90643275
79500US4201600,1600,3011,2304,1461,76.51942876,48.52208569
79500US4201701,1701,1580,1455,762,92.08860759,48.2278481
79500US4201702,1702,993,993,742,100,74.72306143
79500US4201703,1703,1502,1299,964,86.48468708,64.18109188
79500US4201801,1801,1471,1206,1055,81.98504419,71.71991842
79500US4201802,1802,898,898,692,100,77.06013363
79500US4201803,1803,1839,1448,807,78.73844481,43.88254486
79500US4201804,1804,2326,2137,1711,91.8744626,73.55975924
79500US4201805,1805,653,653,653,100,100
79500US4201806,1806,719,719,671,100,93.3240612
79500US4201807,1807,2284,2258,1945,98.86164623,85.15761821
79500US4201900,1900,1456,1404,1007,96.42857143,69.16208791
79500US4202001,2001,2293,2128,1580,92.80418666,68.90536415
79500US4202002,2002,2004,1938,1610,96.70658683,80.33932136
79500US4202101,2101,1591,1591,894,100,56.1910748
79500US4202102,2102,1963,1357,1252,69.12888436,63.77992868
79500US4202103,2103,2140,2092,1320,97.75700935,61.68224299
79500US4202201,2201,2649,2492,1866,94.07323518,70.4416761
79500US4202202,2202,1949,1714,1310,87.94253463,67.21395587
79500US4202300,2300,3885,3432,2356,88.33976834,60.64350064
79500US4202400,2400,2969,1737,1190,58.50454699,40.0808353
79500US4202501,2501,2143,1861,1444,86.84087727,67.38217452
79500US4202502,2502,1823,1556,867,85.3538124,47.55896873
79500US4202600,2600,1365,791,467,57.94871795,34.21245421
79500US4202700,2700,2261,1842,967,81.46837682,42.76868642
79500US4202801,2801,830,782,546,94.21686747,65.78313253
79500US4202802,2802,1544,1475,653,95.53108808,42.29274611
79500US4202900,2900,930,930,472,100,50.75268817
79500US4203001,3001,983,659,471,67.03967447,47.9145473
79500US4203002,3002,1980,1868,1736,94.34343434,87.67676768
79500US4203101,3101,1277,1277,1129,100,88.41033673
79500US4203102,3102,1894,1736,1522,91.65786695,80.35902851
79500US4203201,3201,1685,1468,1225,87.12166172,72.70029674
79500US4203202,3202,1627,1504,1504,92.44007376,92.44007376
79500US4203203,3203,999,886,886,88.68868869,88.68868869
79500US4203301,3301,2383,1993,1530,83.6340747,64.20478389
79500US4203302,3302,1392,1272,1025,91.37931034,73.63505747
79500US4203303,3303,2035,1752,1121,86.09336609,55.08599509
79500US4203401,3401,2836,2709,2373,95.52186178,83.674189
79500US4203402,3402,1230,1043,993,84.79674797,80.73170732
79500US4203500,3500,3638,2846,2234,78.22979659,61.40736668
79500US4203600,3600,808,719,719,88.98514851,88.98514851
79500US4203701,3701,2133,2133,1988,100,93.20206282
79500US4203702,3702,1920,1920,1560,100,81.25
79500US4203801,3801,1061,906,707,85.39114043,66.63524976
79500US4203802,3802,663,663,663,100,100
79500US4203901,3901,1770,1679,1617,94.85875706,91.3559322
79500US4203902,3902,1373,1174,1174,85.50619082,85.50619082
79500US4203903,3903,1711,1455,1331,85.03798948,77.79076563
79500US4203904,3904,448,448,374,100,83.48214286
79500US4204001,4001,309,309,309,100,100
79500US4204002,4002,737,653,557,88.60244233,75.57666214
79500US4204003,4003,1093,942,693,86.18481244,63.40347667
79500US4204004,4004,937,937,937,100,100
79500US4204005,4005,709,709,617,100,87.02397743
79500US4204006,4006,169,169,169,100,100
79500US4204101,4101,879,737,737,83.84527873,83.84527873
79500US4204102,4102,1476,1476,1170,100,79.26829268
79500US4204103,4103,2780,2486,2029,89.42446043,72.98561151
79500US4204104,4104,5765,5571,4028,96.63486557,69.8699046
79500US4204105,4105,6719,4403,3159,65.53058491,47.01592499
79500US4204106,4106,2054,2054,2054,100,100
79500US4204107,4107,3486,2442,1206,70.05163511,34.59552496
79500US4204108,4108,4050,3586,1961,88.54320988,48.41975309
79500US4204109,4109,1569,1288,1221,82.09050351,77.82026769
79500US4204110,4110,5881,5234,2555,88.99846965,43.44499235
79500US4204111,4111,3721,3654,2623,98.19940876,70.49180328
79500US4204201,4201,1068,1068,991,100,92.79026217
79500US4204202,4202,2035,1849,1849,90.85995086,90.85995086
79500US4204203,4203,2104,2104,1635,100,77.70912548
79500US4204204,4204,428,428,428,100,100
79500US4204301,4301,1022,1022,898,100,87.86692759
79500US4204302,4302,938,938,938,100,100
79500US4204303,4303,1047,955,836,91.21298949,79.84718243
